date,159607.XSHE,159611.XSHE,159745.XSHE,159825.XSHE,159841.XSHE,159852.XSHE,159870.XSHE,159930.XSHE,159958.XSHE,159996.XSHE,159997.XSHE,159998.XSHE,512010.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512800.XSHG,512980.XSHG,515170.XSHG,515210.XSHG,515880.XSHG,516110.XSHG,516160.XSHG
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,-0.007911392405063333,-0.009817671809256634,,,,-0.027230046948356734,0.0014265335235379428,0.012567324955116588,,0.024232633279483107,0.006825938566553003,0.0015432098765431057,,,,,
2019-01-04,,,,,,,,0.020733652312599604,0.022662889518413554,,,,0.03024453024453022,0.02564102564102555,0.02659574468085113,,0.018927444794952564,0.02259887005649719,0.024653312788905923,,,,,
2019-01-07,,,,,,,,0.0078125,0.016620498614958512,,,,0.004996876951905094,0.01805555555555549,0.01899827288428324,,0.03869969040247678,-0.0033149171270718814,0.016541353383458413,,,,,
2019-01-08,,,,,,,,0.006201550387596955,-0.004087193460490579,,,,0.003107520198881275,-0.01500682128240105,-0.015254237288135575,,-0.014903129657228065,-0.005543237250554278,-0.002958579881656598,,,,,
2019-01-09,,,,,,,,0.006163328197226425,0.0,,,,0.013940520446096727,0.006925207756232732,-0.005163511187607606,,-0.0060514372163387176,0.010033444816053505,0.0014836795252226587,,,,,
2019-01-10,,,,,,,,0.006125574272588086,-0.002735978112174964,,,,-0.008554842652001127,-0.00687757909215958,-0.0034602076124565784,,-0.0060882800608828,-0.0033112582781457123,0.001481481481481417,,,,,
2019-01-11,,,,,,,,0.0,0.00411522633744843,,,,0.0,0.006925207756232732,0.008680555555555358,,0.018376722817764257,0.009966777408637828,0.00887573964497057,,,,,
2019-01-14,,,,,,,,0.0015220700152205335,-0.013661202185792365,,,,-0.02157164869029282,-0.011004126547455195,-0.005163511187607606,,-0.010526315789473828,-0.007675438596491224,-0.019061583577712593,,,,,
2019-01-15,,,,,,,,0.0,0.015235457063711877,,,,0.03149606299212593,0.011126564673157091,0.00865051903114189,,0.009118541033434902,0.011049723756906049,0.01943198804185342,,,,,
2019-01-16,,,,,,,,0.0075987841945288626,0.0027285129604366354,,,,0.01526717557251911,0.009628610729023546,-0.005145797598627766,,-0.0075301204819276935,0.0010928961748633004,0.0,,,,,
2019-01-17,,,,,,,,0.009049773755656298,-0.010884353741496655,,,,-0.005112781954887291,-0.00953678474114461,-0.006896551724137723,,-0.012139605462822667,-0.0032751091703057122,-0.01026392961876832,,,,,
2019-01-18,,,,,,,,0.007473841554558991,0.009628610729023546,,,,0.0323458282950424,0.008253094910591452,0.024305555555555358,,0.007680491551459223,0.016429353778751432,0.008888888888888724,,,,,
2019-01-21,,,,,,,,0.013353115727002818,0.008174386920980714,,,,-0.0008784773060029893,-0.0013642564802183177,0.0,,0.0060975609756099836,0.0021551724137931494,0.002936857562408246,,,,,
