,159507.XSHE,159611.XSHE,159619.XSHE,159766.XSHE,159825.XSHE,159852.XSHE,159869.XSHE,159870.XSHE,159928.XSHE,159930.XSHE,159996.XSHE,512010.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512800.XSHG,512880.XSHG,512980.XSHG,515030.XSHG,515790.XSHG,515880.XSHG,516110.XSHG,561320.XSHG
2020-01-03,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-01-06,525.2222004832458,-0.6405959342987315,2.5569506105790096,0.28360139765112635,-1.2930990905830126,3.1274603403410035,3.813897456405032,6.206846081917322,-3.7677740042508105,1.9651043635620908,-3.830497017337522,6.643818907009969,2.044357426212459,3.831669183290005,-0.23874109785436678,3.761588398053031,9.421435148894105,-0.43530340373177184,1.704145957722491,0.6693033114143626,-0.14710486740279116,-0.47794396801115807,86.66537655924517,5.328258206744216,3.401348753637282
2020-01-07,29.44649547646783,0.20035783608459648,2.351663930040378,-0.08933530013949169,-3.121064579585072,3.351831144215014,7.240644588098048,13.825833198965194,-2.0557890244788872,2.9317999811720203,0.04155995406567406,2.7197680341219663,2.83732411510012,6.599837908062753,1.5899658268519665,8.013978234904023,3.0134445894266806,-1.4546431545874432,0.17575550626430986,0.4742176875445631,-0.10539755058287933,-0.1489610982721217,10.901148985752673,6.107156882909809,6.6047953418038015
2020-01-08,6.644096572118286,0.29509430234994494,2.1164855563245806,-0.7719163187273329,0.2864131251313545,2.188341748736477,3.9726725679302426,7.221364296481774,-3.0287147501417535,-0.4091366860310117,0.829378319622658,4.623139741377861,4.58170516689343,2.2654009527607784,3.085568825556354,13.955770674182503,2.990269266074901,-2.959195896444985,-0.06328561751153503,0.21102547144793585,-0.8020803895339804,1.6867610216580573,18.89633902213573,10.62285366908759,0.39046280790337
2020-01-09,2.1134127982682824,-1.056615378397811,2.085860663508281,0.38127434388338194,0.708420161941467,2.818870546008477,2.71338422428484,9.957880167644193,-2.7422807084849956,-1.4495684240050584,1.8984200243744396,6.037285274857479,5.5226610591825605,2.4841870467494944,4.653465778715338,19.809056329450645,0.8488412767507302,-4.836252771584408,0.953964938598768,1.4521250901651035,-1.1450331877543396,2.9853145074483596,18.723138736539028,11.417490646058003,0.37481334263151933
2020-01-10,0.16270710263079757,-2.1767358849017104,2.0884621780294292,1.1501808704623246,-0.4655467177507229,3.080374829761457,2.081412507586014,7.464181646015155,-0.33092495843059255,-2.440897340044008,2.9933533705548045,8.70445849915077,7.243558667398391,3.7211218995889626,5.459914730817944,10.6805248565412,0.09111929501229375,-5.23456234163169,0.8751155048472431,2.1895344275757824,-2.2937304105104506,2.166095564989385,26.345372071350884,14.895244352187916,0.3082327600058718
2020-01-13,-0.6378487839676727,-3.143404613183311,2.0223608992444078,1.8845493339032238,-0.7172822746336235,4.445933987207589,3.005242827799542,6.419958619683751,0.7892611584728583,-3.441586551947719,4.168675803482082,9.008197192816466,8.434746721579073,5.23247893627035,6.977520678549198,14.273384148805071,-0.48947220253397794,-3.432782046463704,0.8650794503307188,2.979631002868899,-3.33964140701417,1.8721977081025893,15.407720173528354,19.682300472901527,-0.40738888284375846
2020-01-14,0.49168846977753977,-1.0137397301023199,2.1732657875178414,2.7515278106227017,-1.2701581013243828,5.358928970019862,1.6150379600860123,5.358009989170438,1.5164698235138858,-4.185720422879392,5.11600090433141,6.583663634931874,6.91707255811148,6.853321542048829,8.80239773862667,16.725827861819347,-0.6802865305379671,-2.3189120145321493,0.6861763117061158,3.229575895981327,-3.4441632197510006,1.5032769274345918,10.62868676825556,19.7707058724246,-0.9528545261508987
2020-01-15,1.0847406553094445,-0.29456098297438615,2.0821993616644914,3.4701513696266164,-2.077332610743512,6.5307983538103676,1.9876796710733764,5.162881252465859,2.032011009711061,-5.424897603990484,6.564012062576549,5.388869699037784,5.81392081318547,8.657504909835486,8.580047953965527,19.316618295507894,-0.81139800366894,-3.0504037181596972,0.6423569555533626,4.1775823677150745,-1.6673414398326782,0.8730891011831703,7.597636971023721,22.328006431522486,-2.048421237364646
2020-01-16,1.4933118992627732,0.09303398866643499,1.9930347648894322,3.642233587430011,-2.4996392545179935,7.0288047493898596,2.025106686937318,6.109851179897496,2.5555369664064638,-6.2120196025366,8.185060060480058,6.200419721533224,7.27510596366742,10.001274913002533,7.736592427789688,11.190436593148997,-1.0071257394145907,-3.8257188123067944,0.3485104369132191,4.5048593766877065,-1.7293810185697795,0.44541930174535166,9.46245526822432,27.391221577001463,-2.337971287904099
2020-01-17,1.8259634282956123,0.1413713535169451,1.739762476022464,3.4818869936092587,-3.327427576597797,7.965778761328985,2.6534311237002224,6.857231015739828,2.978021039004667,-5.982345247700906,9.811205399236737,7.627591067851874,8.786045581058133,12.077451589594473,5.2747032361688175,12.636193937814898,-1.014192053622898,-4.563563793804464,-0.045589928774536645,4.995329882109184,-1.033131436665347,0.011855532600099566,10.961865537296156,27.923127152323723,-3.3004955616518337
2020-01-20,1.5174950350382066,1.0595988779326035,1.716658697113479,2.6569998695964023,-3.071011790942247,8.455394741284678,3.4492791635810316,6.1074609696565485,3.623851094608611,-6.204138450847163,11.26583377683363,8.302187096949755,10.445802351025902,13.93282612990308,3.046767073192617,10.318119229600281,-0.8908918299085521,-5.4351121288746205,0.15897279298415556,5.733630626566034,-0.38754685042875586,-0.35694189152361944,11.194605137570065,30.507384362079865,-4.19808576826937
