,ETF,Buy Date,Buy Price,Sell Date,Profit/Loss
64,159996.XSHE,2021-02-08,1.4280000000000002,2021-02-22 14:00:00,-272.7999999999993
65,515030.XSHG,2021-02-22,1.68,2021-02-24 10:30:00,-330.0
66,159852.XSHE,2021-03-01,1.0,2021-03-08 15:00:00,-281.60000000000036
67,512880.XSHG,2021-03-01,1.09,2021-03-09 15:00:00,-360.0
68,159852.XSHE,2021-03-15,0.9259999999999999,2021-04-01 14:00:00,500.5000000000018
69,512800.XSHG,2021-04-12,1.228,2021-04-15 11:30:00,-270.10000000000036
70,512800.XSHG,2021-04-19,1.219,2021-05-27 10:30:00,461.4999999999982
71,159928.XSHE,2021-05-31,1.3382,2021-06-08 14:00:00,-293.7600000000002
72,512980.XSHG,2021-03-15,0.802,2021-07-05 10:30:00,-265.0
73,512200.XSHG,2021-06-21,0.8079999999999999,2021-07-19 10:30:00,-370.59999999999854
74,159825.XSHE,2021-07-12,0.948,2021-07-19 10:30:00,-313.1999999999998
75,159825.XSHE,2021-07-26,0.894,2021-07-28 10:30:00,-364.0000000000009
76,515880.XSHG,2021-07-26,0.985,2021-07-30 14:00:00,495.60000000000036
77,159766.XSHE,2021-08-02,0.84,2021-08-17 14:00:00,568.3999999999996
78,159766.XSHE,2021-08-23,0.9009999999999999,2021-09-08 11:30:00,872.2000000000007
79,512800.XSHG,2021-08-02,1.116,2021-09-09 11:30:00,466.1999999999989
80,512170.XSHG,2021-09-13,0.71,2021-09-24 14:00:00,728.0
81,513050.XSHG,2021-09-27,1.393,2021-10-14 11:30:00,986.9000000000015
82,512010.XSHG,2021-09-13,0.659,2021-11-02 14:00:00,-392.0
83,515880.XSHG,2021-10-18,0.981,2021-11-05 15:00:00,643.7999999999993
84,159996.XSHE,2021-11-08,1.217,2021-12-13 11:30:00,554.3999999999978
85,159825.XSHE,2021-12-20,0.973,2022-01-06 10:30:00,521.7000000000007
86,159766.XSHE,2022-01-10,1.024,2022-01-18 10:30:00,-344.10000000000036
87,512800.XSHG,2021-11-08,1.139,2022-01-20 15:00:00,596.2999999999993
88,159852.XSHE,2022-01-24,1.067,2022-01-25 15:00:00,-434.2999999999993
89,159611.XSHE,2022-01-24,0.932,2022-01-25 15:00:00,-491.40000000000146
90,512010.XSHG,2022-02-07,0.536,2022-02-08 11:30:00,-349.2000000000007
