order_book_id,159607.XSHE,159611.XSHE,159745.XSHE,159825.XSHE,159841.XSHE,159852.XSHE,159870.XSHE,159930.XSHE,159958.XSHE,159996.XSHE,159997.XSHE,159998.XSHE,512010.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512800.XSHG,512980.XSHG,515170.XSHG,515210.XSHG,515880.XSHG,516110.XSHG,516160.XSHG
159607.XSHE,1.0,0.36354237639648074,0.5436413694074552,0.4110387329832783,0.48334084941920424,0.3811115046319898,0.4978686310087802,0.33165816487190714,0.5269820956218707,0.5592094749514649,0.4159062716669585,0.39865244825572854,0.4839260151338492,0.48134645487461375,0.4798306285261245,0.30944037214724135,0.228570313970213,0.5080923817538209,0.39089917226122955,0.6020519888061975,0.4536200627366863,0.34179963905935457,0.4746785078169207,0.38809849350379766
159611.XSHE,0.36354237639648074,1.0,0.42608024154346014,0.46675750756825146,0.41920898388621214,0.22069177281424393,0.47553078843843405,0.4279547983634621,0.4222205337948077,0.414846943339223,0.3039408019336415,0.24934068347637894,0.3147180749761884,0.36047829046329516,0.4397233756838973,0.22719892019343157,0.3524532864480658,0.4125415286347227,0.2896267002275206,0.27177213784355175,0.6039707902534407,0.3021289975902042,0.38506159674035145,0.41523872548323654
159745.XSHE,0.5436413694074552,0.42608024154346014,1.0,0.45099609978042926,0.6046363651310693,0.33395682678919164,0.5624709583938651,0.3512969619127163,0.42496633675797674,0.6552063819991992,0.3600477601757934,0.35370355926770836,0.386477238813463,0.7278505722342894,0.43578615590102204,0.24607405416672395,0.2546375624890166,0.5899482869825214,0.3946876914217687,0.4659929732508941,0.5794326957888736,0.29395144272410967,0.3927039037861718,0.30169993750669344
159825.XSHE,0.4110387329832783,0.46675750756825146,0.45099609978042926,1.0,0.4165895485245065,0.36232775288723834,0.585396446905238,0.2927726575622489,0.5449899801377193,0.5020214867583176,0.37188820451294613,0.3751828486646239,0.45738791082904234,0.28511376866554616,0.4776260610225952,0.2583338674702449,0.41112225310355105,0.27682615016281664,0.3574629051023428,0.48593599769830187,0.3432559903152419,0.3327636734976815,0.45175124559216606,0.43327690364336574
159841.XSHE,0.48334084941920424,0.41920898388621214,0.6046363651310693,0.4165895485245065,1.0,0.5089489334990084,0.4946510377292787,0.2878255458457229,0.5319752551570727,0.5573600416828951,0.4915235202014805,0.5235279962959694,0.39735255257515956,0.5257622635125484,0.38662484597381264,0.36928470196007324,0.3776807168519132,0.6097648158631059,0.44533291408190323,0.4666995257050835,0.3659298833897774,0.41935295706579623,0.39972036269529104,0.33480384750872877
159852.XSHE,0.3811115046319898,0.22069177281424393,0.33395682678919164,0.36232775288723834,0.5089489334990084,1.0,0.41248644942407003,0.06713253399927714,0.6136386405522868,0.478673373987455,0.7397553657170545,0.9617459421341621,0.4250158494116339,0.2465093336325443,0.3452217026022115,0.5954477374426751,0.5103044377815263,0.215478280717004,0.6617729553328892,0.4004665041899181,0.2455256188250899,0.7408549213081757,0.41948712763213863,0.3825544092614916
159870.XSHE,0.4978686310087802,0.47553078843843405,0.5624709583938651,0.585396446905238,0.4946510377292787,0.41248644942407003,1.0,0.4256282241722028,0.6991072611292148,0.5169565359193989,0.510016411875498,0.4320504261055654,0.46102523664923856,0.3637129218622626,0.778909298881002,0.4236612276248895,0.5390539819956859,0.3226889067297185,0.2955628443959723,0.4344390429949676,0.5710797152650061,0.4047406197927404,0.6259492079699949,0.7434716798701471
159930.XSHE,0.33165816487190714,0.4279547983634621,0.3512969619127163,0.2927726575622489,0.2878255458457229,0.06713253399927714,0.4256282241722028,1.0,0.26900802828506776,0.2193410977756942,0.17443642623439617,0.15475884484883995,0.15761455469752467,0.4444872541933498,0.5538279385228317,0.14928050028024462,0.29617509554175864,0.4783846497147409,0.27602696998543164,0.05931600524285138,0.6052973661079287,0.22378088159688564,0.20668584134905463,0.16299720113341692
159958.XSHE,0.5269820956218707,0.4222205337948077,0.42496633675797674,0.5449899801377193,0.5319752551570727,0.6136386405522868,0.6991072611292148,0.26900802828506776,1.0,0.634345088466109,0.7502037534058893,0.675501602641093,0.732892047381675,0.3866143112910658,0.6133878902649572,0.6646358724773284,0.6400020627024537,0.3538306289286763,0.6065353830962902,0.5920668280061003,0.35151592017862865,0.6427034895188827,0.6698590693825225,0.8036811728620027
159996.XSHE,0.5592094749514649,0.414846943339223,0.6552063819991992,0.5020214867583176,0.5573600416828951,0.478673373987455,0.5169565359193989,0.2193410977756942,0.634345088466109,1.0,0.5624949642733296,0.5273496182228673,0.5618365788658973,0.4863138537291614,0.3911426087120327,0.40761451070175836,0.4067356926727275,0.44823884225269234,0.4418318370087455,0.6512950689086273,0.320822253359682,0.4588622543321711,0.48310541429935555,0.3883173988127671
159997.XSHE,0.4159062716669585,0.3039408019336415,0.3600477601757934,0.37188820451294613,0.4915235202014805,0.7397553657170545,0.510016411875498,0.17443642623439617,0.7502037534058893,0.5624949642733296,1.0,0.8084999342496849,0.47185085324332987,0.3110679022886719,0.5006772339559592,0.8945731084434252,0.5974602223163697,0.23341092694274274,0.5783358748355276,0.42303406758787027,0.3371642435508818,0.8061202214747434,0.5472686126993037,0.5441869897598183
159998.XSHE,0.39865244825572854,0.24934068347637894,0.35370355926770836,0.3751828486646239,0.5235279962959694,0.9617459421341621,0.4320504261055654,0.15475884484883995,0.675501602641093,0.5273496182228673,0.8084999342496849,1.0,0.4643974118541492,0.30756085047318227,0.42748320410238116,0.6588616434875502,0.5472065806494681,0.24811013177971203,0.7066869412893734,0.4198678539097244,0.31909460905537,0.8127794032074694,0.4375482941777422,0.40500446202319995
512010.XSHG,0.4839260151338492,0.3147180749761884,0.386477238813463,0.45738791082904234,0.39735255257515956,0.4250158494116339,0.46102523664923856,0.15761455469752467,0.732892047381675,0.5618365788658973,0.47185085324332987,0.4643974118541492,1.0,0.3074469545556361,0.37051457469219223,0.3714261058760668,0.3817323152132683,0.33330125688070367,0.4319935515556033,0.67062373168536,0.18861580054849966,0.37437880522631806,0.3542787374019141,0.4065076973789432
512200.XSHG,0.48134645487461375,0.36047829046329516,0.7278505722342894,0.28511376866554616,0.5257622635125484,0.2465093336325443,0.3637129218622626,0.4444872541933498,0.3866143112910658,0.4863138537291614,0.3110679022886719,0.30756085047318227,0.3074469545556361,1.0,0.39704412717180665,0.2562393836771539,0.3078350553116059,0.6574050639126726,0.45029340965988374,0.3013207719795129,0.4490196662096728,0.3245685716427163,0.23505168318675274,0.14831773274406554
512400.XSHG,0.4798306285261245,0.4397233756838973,0.43578615590102204,0.4776260610225952,0.38662484597381264,0.3452217026022115,0.778909298881002,0.5538279385228317,0.6133878902649572,0.3911426087120327,0.5006772339559592,0.42748320410238116,0.37051457469219223,0.39704412717180665,1.0,0.4331527298827806,0.571317361680689,0.37469955453134923,0.4012418332947693,0.24831237727003333,0.6910052889391072,0.436768734647947,0.591620933078452,0.713405316453385
512480.XSHG,0.30944037214724135,0.22719892019343157,0.24607405416672395,0.2583338674702449,0.36928470196007324,0.5954477374426751,0.4236612276248895,0.14928050028024462,0.6646358724773284,0.40761451070175836,0.8945731084434252,0.6588616434875502,0.3714261058760668,0.2562393836771539,0.4331527298827806,1.0,0.5604879474963593,0.18991040759925173,0.4826832545192613,0.2966992027680402,0.2818355220600746,0.7150310373644712,0.46248090239989353,0.4919429901039751
512660.XSHG,0.228570313970213,0.3524532864480658,0.2546375624890166,0.41112225310355105,0.3776807168519132,0.5103044377815263,0.5390539819956859,0.29617509554175864,0.6400020627024537,0.4067356926727275,0.5974602223163697,0.5472065806494681,0.3817323152132683,0.3078350553116059,0.571317361680689,0.5604879474963593,1.0,0.25666199142081714,0.44521223309367264,0.23127139532017954,0.38353500294693066,0.5898423060953837,0.5036517611156122,0.5606399351554392
512800.XSHG,0.5080923817538209,0.4125415286347227,0.5899482869825214,0.27682615016281664,0.6097648158631059,0.215478280717004,0.3226889067297185,0.4783846497147409,0.3538306289286763,0.44823884225269234,0.23341092694274274,0.24811013177971203,0.33330125688070367,0.6574050639126726,0.37469955453134923,0.18991040759925173,0.25666199142081714,1.0,0.36726434133699815,0.42139899957533267,0.39351558005532267,0.2461219131459152,0.18766501379485775,0.06224402720106236
512980.XSHG,0.39089917226122955,0.2896267002275206,0.3946876914217687,0.3574629051023428,0.44533291408190323,0.6617729553328892,0.2955628443959723,0.27602696998543164,0.6065353830962902,0.4418318370087455,0.5783358748355276,0.7066869412893734,0.4319935515556033,0.45029340965988374,0.4012418332947693,0.4826832545192613,0.44521223309367264,0.36726434133699815,1.0,0.3423780579928183,0.3097515211844709,0.6684489274752581,0.30497386917347374,0.20358015691657394
515170.XSHG,0.6020519888061975,0.27177213784355175,0.4659929732508941,0.48593599769830187,0.4666995257050835,0.4004665041899181,0.4344390429949676,0.05931600524285138,0.5920668280061003,0.6512950689086273,0.42303406758787027,0.4198678539097244,0.67062373168536,0.3013207719795129,0.24831237727003333,0.2966992027680402,0.23127139532017954,0.42139899957533267,0.3423780579928183,1.0,0.09082188840163893,0.30162321259384733,0.37728700383694525,0.3365981409903835
515210.XSHG,0.4536200627366863,0.6039707902534407,0.5794326957888736,0.3432559903152419,0.3659298833897774,0.2455256188250899,0.5710797152650061,0.6052973661079287,0.35151592017862865,0.320822253359682,0.3371642435508818,0.31909460905537,0.18861580054849966,0.4490196662096728,0.6910052889391072,0.2818355220600746,0.38353500294693066,0.39351558005532267,0.3097515211844709,0.09082188840163893,1.0,0.3232549155637566,0.407966497837155,0.40285852257456145
515880.XSHG,0.34179963905935457,0.3021289975902042,0.29395144272410967,0.3327636734976815,0.41935295706579623,0.7408549213081757,0.4047406197927404,0.22378088159688564,0.6427034895188827,0.4588622543321711,0.8061202214747434,0.8127794032074694,0.37437880522631806,0.3245685716427163,0.436768734647947,0.7150310373644712,0.5898423060953837,0.2461219131459152,0.6684489274752581,0.30162321259384733,0.3232549155637566,1.0,0.4777803812030687,0.4149068948981733
516110.XSHG,0.4746785078169207,0.38506159674035145,0.3927039037861718,0.45175124559216606,0.39972036269529104,0.41948712763213863,0.6259492079699949,0.20668584134905463,0.6698590693825225,0.48310541429935555,0.5472686126993037,0.4375482941777422,0.3542787374019141,0.23505168318675274,0.591620933078452,0.46248090239989353,0.5036517611156122,0.18766501379485775,0.30497386917347374,0.37728700383694525,0.407966497837155,0.4777803812030687,1.0,0.6721975119328444
516160.XSHG,0.38809849350379766,0.41523872548323654,0.30169993750669344,0.43327690364336574,0.33480384750872877,0.3825544092614916,0.7434716798701471,0.16299720113341692,0.8036811728620027,0.3883173988127671,0.5441869897598183,0.40500446202319995,0.4065076973789432,0.14831773274406554,0.713405316453385,0.4919429901039751,0.5606399351554392,0.06224402720106236,0.20358015691657394,0.3365981409903835,0.40285852257456145,0.4149068948981733,0.6721975119328444,1.0
